site,country,lat,lon,hazard,indicator,label,scenario,year,value,model,error
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp245,2090,0.4345,mean_work_loss/high,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp245,2090,0.9006,mean_work_loss/high,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2729,mean_work_loss/high,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2729,mean_work_loss/high,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2661,mean_work_loss/high,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2572,mean_work_loss/high,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2723,mean_work_loss/high,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2838,mean_work_loss/high,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2603,mean_work_loss/high,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2603,mean_work_loss/high,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.3656,mean_work_loss/high,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.3747,mean_work_loss/high,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.2968,mean_work_loss/high,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.05375,mean_work_loss/high,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.323,mean_work_loss/high,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2030,0.8973,mean_work_loss/high,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3089,mean_work_loss/high,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3089,mean_work_loss/high,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3011,mean_work_loss/high,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.2914,mean_work_loss/high,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3113,mean_work_loss/high,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3248,mean_work_loss/high,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.2983,mean_work_loss/high,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.2983,mean_work_loss/high,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.4021,mean_work_loss/high,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.4074,mean_work_loss/high,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3336,mean_work_loss/high,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.1115,mean_work_loss/high,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.3623,mean_work_loss/high,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2050,0.8988,mean_work_loss/high,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3885,mean_work_loss/high,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3885,mean_work_loss/high,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3774,mean_work_loss/high,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3627,mean_work_loss/high,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3947,mean_work_loss/high,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.4142,mean_work_loss/high,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3785,mean_work_loss/high,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.3785,mean_work_loss/high,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.4758,mean_work_loss/high,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.4685,mean_work_loss/high,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.4084,mean_work_loss/high,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.2514,mean_work_loss/high,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.4437,mean_work_loss/high,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/high,WorkLoss_high,ssp585,2090,0.9002,mean_work_loss/high,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1324,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1324,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1286,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.13,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1395,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1568,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1262,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1262,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.2246,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.2255,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1512,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.002471,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.1523,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2030,0.6348,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1583,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1583,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1547,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1559,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1649,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1842,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1526,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1526,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.2474,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.2435,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.174,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.003903,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.1792,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2050,0.6914,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1914,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1914,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1862,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1715,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1886,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.2204,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1811,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1811,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.2788,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.2716,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.1977,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.006797,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.2275,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp126,2090,0.7863,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1169,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1169,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1121,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1004,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1119,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1333,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.109,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.109,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.2034,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.2182,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.1444,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.002167,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.143,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2030,0.6282,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1513,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1513,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1462,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1325,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1493,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1722,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1458,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1458,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.237,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.2508,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1718,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.004427,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.1841,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2050,0.6998,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2343,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2343,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2295,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2163,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2369,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2574,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2308,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2308,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.3204,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.3316,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2452,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.01013,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.2673,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp245,2090,0.8414,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1262,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1262,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1214,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1096,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.121,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1412,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1176,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1176,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.2105,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.2299,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1431,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.002554,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.1597,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2030,0.6416,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.16,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.16,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1539,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1382,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1549,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1789,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1514,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1514,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.2493,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.2628,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1857,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.006325,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.1938,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2050,0.7138,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2438,mean_work_loss/medium,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2438,mean_work_loss/medium,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2359,mean_work_loss/medium,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2103,mean_work_loss/medium,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2349,mean_work_loss/medium,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2659,mean_work_loss/medium,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2343,mean_work_loss/medium,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2343,mean_work_loss/medium,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.3335,mean_work_loss/medium,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.3285,mean_work_loss/medium,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.2893,mean_work_loss/medium,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.01608,mean_work_loss/medium,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.28,mean_work_loss/medium,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_work_loss/medium,WorkLoss_med,ssp585,2090,0.8374,mean_work_loss/medium,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,96.179155,days_wbgt_above,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,96.179155,days_wbgt_above,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,94.854155,days_wbgt_above,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,102.85414416666669,days_wbgt_above,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,105.46160833333332,days_wbgt_above,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,104.835655,days_wbgt_above,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,96.88745833333331,days_wbgt_above,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,96.88745833333331,days_wbgt_above,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,123.50975,days_wbgt_above,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,120.59308333333333,days_wbgt_above,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,102.91166666666668,days_wbgt_above,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,days_wbgt_above,WBGT_days,ssp126,2030,83.31216666666666,days_wbgt_above,
