site,ssp,period,variable,ens_mean
Gunsan_Plant,ssp245,end,etccdi_wsdi,70.5
Gunsan_Plant,ssp245,far,etccdi_cdd,35.6
Gunsan_Plant,ssp245,far,etccdi_cwd,5.2
Gunsan_Plant,ssp245,far,etccdi_fd,0.7
Gunsan_Plant,ssp245,far,etccdi_r95p,249.43
Gunsan_Plant,ssp245,far,etccdi_rx1day,33.55
Gunsan_Plant,ssp245,far,etccdi_rx5day,54.8
Gunsan_Plant,ssp245,far,etccdi_sdii,12.72
Gunsan_Plant,ssp245,far,etccdi_su,12.8
Gunsan_Plant,ssp245,far,etccdi_tnn,9.42
Gunsan_Plant,ssp245,far,etccdi_tr,69.7
Gunsan_Plant,ssp245,far,etccdi_txx,19.81
Gunsan_Plant,ssp245,far,etccdi_wbgt,14.49
Gunsan_Plant,ssp245,far,etccdi_wsdi,70.0
Gunsan_Plant,ssp245,mid,etccdi_cdd,27.7
Gunsan_Plant,ssp245,mid,etccdi_cwd,5.2
Gunsan_Plant,ssp245,mid,etccdi_fd,1.3
Gunsan_Plant,ssp245,mid,etccdi_r95p,457.18
Gunsan_Plant,ssp245,mid,etccdi_rx1day,43.37
Gunsan_Plant,ssp245,mid,etccdi_rx5day,65.77
Gunsan_Plant,ssp245,mid,etccdi_sdii,14.26
Gunsan_Plant,ssp245,mid,etccdi_su,5.2
Gunsan_Plant,ssp245,mid,etccdi_tnn,8.96
Gunsan_Plant,ssp245,mid,etccdi_tr,49.0
Gunsan_Plant,ssp245,mid,etccdi_txx,18.94
Gunsan_Plant,ssp245,mid,etccdi_wbgt,13.84
Gunsan_Plant,ssp245,mid,etccdi_wsdi,54.3
Gunsan_Plant,ssp245,near,etccdi_cdd,30.8
Gunsan_Plant,ssp245,near,etccdi_cwd,5.4
Gunsan_Plant,ssp245,near,etccdi_fd,4.2
Gunsan_Plant,ssp245,near,etccdi_r95p,320.72
Gunsan_Plant,ssp245,near,etccdi_rx1day,35.77
Gunsan_Plant,ssp245,near,etccdi_rx5day,59.7
Gunsan_Plant,ssp245,near,etccdi_sdii,12.14
Gunsan_Plant,ssp245,near,etccdi_su,0.2
Gunsan_Plant,ssp245,near,etccdi_tnn,7.6
Gunsan_Plant,ssp245,near,etccdi_tr,14.9
Gunsan_Plant,ssp245,near,etccdi_txx,17.77
Gunsan_Plant,ssp245,near,etccdi_wbgt,12.6
Gunsan_Plant,ssp245,near,etccdi_wsdi,16.4
Gunsan_Plant,ssp370,baseline,etccdi_cdd,31.8
Gunsan_Plant,ssp370,baseline,etccdi_cwd,4.8
Gunsan_Plant,ssp370,baseline,etccdi_fd,8.4
Gunsan_Plant,ssp370,baseline,etccdi_r95p,208.26
Gunsan_Plant,ssp370,baseline,etccdi_rx1day,30.63
Gunsan_Plant,ssp370,baseline,etccdi_rx5day,47.61
Gunsan_Plant,ssp370,baseline,etccdi_sdii,11.11
Gunsan_Plant,ssp370,baseline,etccdi_su,0.1
Gunsan_Plant,ssp370,baseline,etccdi_tnn,6.79
Gunsan_Plant,ssp370,baseline,etccdi_tr,7.4
Gunsan_Plant,ssp370,baseline,etccdi_txx,17.12
Gunsan_Plant,ssp370,baseline,etccdi_wbgt,12.07
Gunsan_Plant,ssp370,baseline,etccdi_wsdi,10.6
Gunsan_Plant,ssp370,end,etccdi_cdd,37.3
Gunsan_Plant,ssp370,end,etccdi_cwd,6.6
Gunsan_Plant,ssp370,end,etccdi_fd,0.2
Gunsan_Plant,ssp370,end,etccdi_r95p,481.39
Gunsan_Plant,ssp370,end,etccdi_rx1day,41.59
Gunsan_Plant,ssp370,end,etccdi_rx5day,67.96
Gunsan_Plant,ssp370,end,etccdi_sdii,14.8
Gunsan_Plant,ssp370,end,etccdi_su,48.1
Gunsan_Plant,ssp370,end,etccdi_tnn,11.0
Gunsan_Plant,ssp370,end,etccdi_tr,97.5
Gunsan_Plant,ssp370,end,etccdi_txx,20.76
Gunsan_Plant,ssp370,end,etccdi_wbgt,15.74
Gunsan_Plant,ssp370,end,etccdi_wsdi,97.1
Gunsan_Plant,ssp370,far,etccdi_cdd,26.2
Gunsan_Plant,ssp370,far,etccdi_cwd,5.6
Gunsan_Plant,ssp370,far,etccdi_fd,0.0
Gunsan_Plant,ssp370,far,etccdi_r95p,583.17
Gunsan_Plant,ssp370,far,etccdi_rx1day,47.51
Gunsan_Plant,ssp370,far,etccdi_rx5day,73.77
Gunsan_Plant,ssp370,far,etccdi_sdii,14.77
Gunsan_Plant,ssp370,far,etccdi_su,35.0
Gunsan_Plant,ssp370,far,etccdi_tnn,10.47
Gunsan_Plant,ssp370,far,etccdi_tr,85.2
Gunsan_Plant,ssp370,far,etccdi_txx,20.51
