site,country,ssp,variable,period,ens_mean,ens_median,ens_p10,ens_p90,lat,lon
Gwangyang_Plant,KOR,ssp370,tasmin,baseline,11.2444,11.0064,7.821,14.8454,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,evspsbl,baseline,43.1668,43.1668,43.1668,43.1668,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,pr,baseline,48.6457,47.0194,38.2442,59.9855,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,prsn,baseline,0.1561,0.1561,0.1561,0.1561,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,sfcWind,baseline,5.8217,5.8217,5.8217,5.8217,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,tas,baseline,14.1986,14.4149,12.5082,16.5172,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,tasmax,baseline,27.8365,27.8842,25.1953,30.203,34.9393,127.6961
Gwangyang_Plant,KOR,ssp585,tasmin,baseline,11.5067,11.4129,7.6226,15.0808,34.9393,127.6961
Iksan_Plant,KOR,ssp126,evspsbl,baseline,28.6831,28.6831,28.6831,28.6831,35.9333,127.0167
Iksan_Plant,KOR,ssp126,pr,baseline,43.6709,42.3557,38.5125,52.6478,35.9333,127.0167
Iksan_Plant,KOR,ssp126,prsn,baseline,0.4002,0.4002,0.4002,0.4002,35.9333,127.0167
Iksan_Plant,KOR,ssp126,sfcWind,baseline,4.2621,4.2621,4.2621,4.2621,35.9333,127.0167
Iksan_Plant,KOR,ssp126,tas,baseline,12.6731,12.9687,10.7599,14.2084,35.9333,127.0167
Iksan_Plant,KOR,ssp126,tasmax,baseline,28.0019,27.7356,26.2409,30.3434,35.9333,127.0167
Iksan_Plant,KOR,ssp126,tasmin,baseline,9.6111,10.3319,6.5756,12.4885,35.9333,127.0167
Iksan_Plant,KOR,ssp245,evspsbl,baseline,28.8816,28.8816,28.8816,28.8816,35.9333,127.0167
Iksan_Plant,KOR,ssp245,pr,baseline,42.8512,41.9893,36.5269,51.849,35.9333,127.0167
Iksan_Plant,KOR,ssp245,prsn,baseline,0.3063,0.3063,0.3063,0.3063,35.9333,127.0167
Iksan_Plant,KOR,ssp245,sfcWind,baseline,4.3083,4.3083,4.3083,4.3083,35.9333,127.0167
Iksan_Plant,KOR,ssp245,tas,baseline,12.6729,12.7427,10.8016,14.5234,35.9333,127.0167
Iksan_Plant,KOR,ssp245,tasmax,baseline,27.8947,27.5685,25.8477,29.5875,35.9333,127.0167
Iksan_Plant,KOR,ssp245,tasmin,baseline,9.635,10.0167,6.7693,12.8439,35.9333,127.0167
Iksan_Plant,KOR,ssp370,evspsbl,baseline,28.5543,28.5543,28.5543,28.5543,35.9333,127.0167
Iksan_Plant,KOR,ssp370,pr,baseline,41.4772,38.7597,33.9758,49.5207,35.9333,127.0167
