Site,Variable,Scenario,2030,2035,2040,2045
Pohang Plant,Rsds(W/m2),SSP3-7.0,170.456,161.877,166.631,161.778
Pohang Plant,Tmean(C),SSP5-8.5,13.859,13.585,14.194,14.831
Pohang Plant,Tmax(C),SSP5-8.5,15.615,15.376,15.93,16.574
Pohang Plant,Tmin(C),SSP5-8.5,11.921,11.622,12.281,12.912
Pohang Plant,Pr(mm/d),SSP5-8.5,4.636,2.022,4.351,4.072
Pohang Plant,Wind(m/s),SSP5-8.5,4.287,4.208,4.137,4.043
Pohang Plant,Huss(g/kg),SSP5-8.5,8.787,8.291,8.847,9.109
Pohang Plant,Rsds(W/m2),SSP5-8.5,167.878,178.181,173.266,176.971
Gunsan Plant,Tmean(C),SSP1-2.6,13.188,13.379,12.577,13.408
Gunsan Plant,Tmax(C),SSP1-2.6,14.567,14.712,13.94,14.765
Gunsan Plant,Tmin(C),SSP1-2.6,11.717,11.971,11.079,11.958
Gunsan Plant,Pr(mm/d),SSP1-2.6,2.723,3.48,3.099,3.702
Gunsan Plant,Wind(m/s),SSP1-2.6,4.321,4.245,4.249,4.309
Gunsan Plant,Huss(g/kg),SSP1-2.6,8.062,8.351,7.937,8.48
Gunsan Plant,Rsds(W/m2),SSP1-2.6,181.377,177.07,181.317,177.947
Gunsan Plant,Tmean(C),SSP2-4.5,12.49,12.88,13.303,13.336
Gunsan Plant,Tmax(C),SSP2-4.5,13.879,14.261,14.715,14.688
Gunsan Plant,Tmin(C),SSP2-4.5,10.966,11.404,11.796,11.839
Gunsan Plant,Pr(mm/d),SSP2-4.5,3.121,3.183,2.983,3.19
Gunsan Plant,Wind(m/s),SSP2-4.5,4.288,4.248,4.152,4.164
Gunsan Plant,Huss(g/kg),SSP2-4.5,7.839,8.183,8.332,8.327
Gunsan Plant,Rsds(W/m2),SSP2-4.5,177.499,169.852,176.538,180.139
Gunsan Plant,Tmean(C),SSP3-7.0,12.796,13.334,12.993,12.49
Gunsan Plant,Tmax(C),SSP3-7.0,14.199,14.756,14.452,13.912
Gunsan Plant,Tmin(C),SSP3-7.0,11.265,11.863,11.439,10.995
Gunsan Plant,Pr(mm/d),SSP3-7.0,2.423,2.759,2.622,3.27
Gunsan Plant,Wind(m/s),SSP3-7.0,4.085,4.235,4.255,4.277
Gunsan Plant,Huss(g/kg),SSP3-7.0,7.925,8.431,8.094,7.974
Gunsan Plant,Rsds(W/m2),SSP3-7.0,175.394,169.437,173.456,167.173
Gunsan Plant,Tmean(C),SSP5-8.5,13.06,12.745,13.423,14.026
Gunsan Plant,Tmax(C),SSP5-8.5,14.47,14.179,14.827,15.457
Gunsan Plant,Tmin(C),SSP5-8.5,11.52,11.217,11.931,12.527
Gunsan Plant,Pr(mm/d),SSP5-8.5,3.27,1.67,3.702,3.134
Gunsan Plant,Wind(m/s),SSP5-8.5,4.421,4.341,4.297,4.179
Gunsan Plant,Huss(g/kg),SSP5-8.5,8.223,7.733,8.335,8.578
Gunsan Plant,Rsds(W/m2),SSP5-8.5,176.651,182.014,177.713,183.063
Iksan Plant,Tmean(C),SSP1-2.6,13.188,13.379,12.577,13.408
Iksan Plant,Tmax(C),SSP1-2.6,14.567,14.712,13.94,14.765
Iksan Plant,Tmin(C),SSP1-2.6,11.717,11.971,11.079,11.958
Iksan Plant,Pr(mm/d),SSP1-2.6,2.723,3.48,3.099,3.702
Iksan Plant,Wind(m/s),SSP1-2.6,4.321,4.245,4.249,4.309
Iksan Plant,Huss(g/kg),SSP1-2.6,8.062,8.351,7.937,8.48
Iksan Plant,Rsds(W/m2),SSP1-2.6,181.377,177.07,181.317,177.947
Iksan Plant,Tmean(C),SSP2-4.5,12.49,12.88,13.303,13.336
Iksan Plant,Tmax(C),SSP2-4.5,13.879,14.261,14.715,14.688
Iksan Plant,Tmin(C),SSP2-4.5,10.966,11.404,11.796,11.839
