Site,Variable,Scenario,2030,2035,2040,2045
OCI Japan Tokyo,Pr(mm/d),SSP2-4.5,4.775,5.31,5.021,5.192
OCI Japan Tokyo,Wind(m/s),SSP2-4.5,2.517,2.449,2.472,2.432
OCI Japan Tokyo,Huss(g/kg),SSP2-4.5,8.943,9.363,9.439,9.357
OCI Japan Tokyo,Rsds(W/m2),SSP2-4.5,159.98,156.796,161.446,165.655
OCI Japan Tokyo,Tmean(C),SSP3-7.0,13.919,14.46,14.442,13.977
OCI Japan Tokyo,Tmax(C),SSP3-7.0,16.432,16.811,16.997,16.491
OCI Japan Tokyo,Tmin(C),SSP3-7.0,11.39,12.127,11.971,11.544
OCI Japan Tokyo,Pr(mm/d),SSP3-7.0,4.344,4.776,3.713,3.857
OCI Japan Tokyo,Wind(m/s),SSP3-7.0,2.456,2.55,2.455,2.43
OCI Japan Tokyo,Huss(g/kg),SSP3-7.0,8.995,9.503,9.184,9.156
OCI Japan Tokyo,Rsds(W/m2),SSP3-7.0,162.703,156.924,166.376,163.029
OCI Japan Tokyo,Tmean(C),SSP5-8.5,14.352,13.706,14.508,15.339
OCI Japan Tokyo,Tmax(C),SSP5-8.5,16.819,16.137,16.945,17.854
OCI Japan Tokyo,Tmin(C),SSP5-8.5,11.935,11.293,12.06,12.907
OCI Japan Tokyo,Pr(mm/d),SSP5-8.5,5.342,4.241,5.566,4.668
OCI Japan Tokyo,Wind(m/s),SSP5-8.5,2.519,2.551,2.449,2.43
OCI Japan Tokyo,Huss(g/kg),SSP5-8.5,9.419,8.91,9.448,9.901
OCI Japan Tokyo,Rsds(W/m2),SSP5-8.5,158.868,164.128,163.371,166.12
Philko Makati,Tmean(C),SSP1-2.6,28.264,28.299,28.734,28.647
Philko Makati,Tmax(C),SSP1-2.6,30.334,30.403,30.791,30.708
Philko Makati,Tmin(C),SSP1-2.6,26.605,26.604,27.082,27.021
Philko Makati,Pr(mm/d),SSP1-2.6,6.589,7.811,6.846,6.742
Philko Makati,Wind(m/s),SSP1-2.6,2.826,3.085,2.852,3.028
Philko Makati,Huss(g/kg),SSP1-2.6,18.577,18.658,19.042,19.079
Philko Makati,Rsds(W/m2),SSP1-2.6,212.812,212.796,211.29,213.098
Philko Makati,Tmean(C),SSP2-4.5,27.883,27.666,27.137,27.763
Philko Makati,Tmax(C),SSP2-4.5,30.387,30.718,30.427,30.865
Philko Makati,Tmin(C),SSP2-4.5,26.708,26.93,26.844,27.164
Philko Makati,Pr(mm/d),SSP2-4.5,6.783,6.188,7.059,7.194
Philko Makati,Wind(m/s),SSP2-4.5,0.668,0.652,0.664,0.652
Philko Makati,Huss(g/kg),SSP2-4.5,18.829,18.799,19.049,19.161
Philko Makati,Rsds(W/m2),SSP2-4.5,209.036,213.124,208.541,211.393
Philko Makati,Tmean(C),SSP3-7.0,28.366,28.572,28.775,28.832
Philko Makati,Tmax(C),SSP3-7.0,30.452,30.622,30.884,30.93
Philko Makati,Tmin(C),SSP3-7.0,26.693,26.967,27.064,27.172
Philko Makati,Pr(mm/d),SSP3-7.0,6.867,6.687,7.828,6.626
Philko Makati,Wind(m/s),SSP3-7.0,2.928,2.978,2.825,2.725
Philko Makati,Huss(g/kg),SSP3-7.0,18.687,19.085,19.148,19.207
Philko Makati,Rsds(W/m2),SSP3-7.0,207.571,207.894,206.013,208.257
Philko Makati,Tmean(C),SSP5-8.5,28.526,28.51,28.512,29.484
Philko Makati,Tmax(C),SSP5-8.5,30.616,30.483,30.559,31.61
Philko Makati,Tmin(C),SSP5-8.5,26.861,26.945,26.909,27.765
Philko Makati,Pr(mm/d),SSP5-8.5,6.747,7.308,7.324,6.213
Philko Makati,Wind(m/s),SSP5-8.5,2.84,3.155,2.917,2.843
Philko Makati,Huss(g/kg),SSP5-8.5,18.927,18.938,19.013,19.634
Philko Makati,Rsds(W/m2),SSP5-8.5,211.117,205.604,207.799,213.999
