Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,Iksan Plant,Daily Max Temperature,degC,Heat Wave (Tmax C),13.871,14.587,14.771,15.329,15.148,14.955,15.45,15.236,13.553,14.179,14.735,15.491,15.512,15.774,16.225,16.074,13.643,14.434,14.218,15.03,15.628,16.423,17.014,17.455,13.79,14.308,15.229,15.862,16.319,17.176,18.142,18.931
Korea,Iksan Plant,Daily Min Temperature,degC,Cold Wave (Tmin C),10.948,11.749,11.913,12.457,12.322,12.144,12.592,12.424,10.612,11.337,11.912,12.632,12.675,12.945,13.337,13.208,10.723,11.489,11.314,12.083,12.659,13.509,14.199,14.635,10.884,11.369,12.33,12.989,13.52,14.357,15.326,16.141
Korea,Iksan Plant,Near-Surface Air Temperature,degC,Mean Temp (Tas C),12.465,13.213,13.395,13.948,13.782,13.602,14.072,13.884,12.131,12.816,13.374,14.11,14.146,14.397,14.83,14.683,12.233,13.004,12.806,13.599,14.189,15.002,15.637,16.069,12.39,12.893,13.817,14.457,14.959,15.792,16.755,17.55
Korea,Iksan Plant,Precipitation,mm/day,Heavy Rain (Pr mm/day),3.134,2.988,3.123,2.578,3.205,2.76,2.953,3.299,2.656,2.823,3.325,3.271,3.173,3.08,2.747,2.789,2.444,3.004,2.878,3.156,3.014,3.266,3.547,3.304,2.839,2.552,3.365,3.346,3.312,3.385,3.544,3.599
Korea,Iksan Plant,Evapotranspiration,mm/day,Drought (Evap mm/day),2.458,2.569,2.652,2.651,2.671,2.639,2.665,2.709,2.446,2.46,2.517,2.646,2.632,2.634,2.694,2.708,2.345,2.405,2.409,2.427,2.512,2.568,2.625,2.704,2.445,2.48,2.556,2.678,2.686,2.795,2.855,2.926
Korea,Iksan Plant,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.029,0.021,0.022,0.021,0.016,0.019,0.019,0.019,0.027,0.019,0.015,0.015,0.017,0.012,0.01,0.012,0.03,0.015,0.02,0.017,0.013,0.008,0.004,0.008,0.033,0.02,0.012,0.014,0.015,0.005,0.004,0.003
Korea,Iksan Plant,Near-Surface Wind Speed,m/s,Wind Speed (m/s),4.237,4.255,4.298,4.256,4.271,4.217,4.222,4.238,4.284,4.157,4.13,4.17,4.147,4.16,4.151,4.239,4.141,4.158,4.202,4.108,4.185,4.059,4.057,4.062,4.274,4.299,4.163,4.231,4.182,4.159,4.104,4.117
Korea,Iksan Plant,Sea Surface Height Anomaly,cm,Sea Level (cm),37.343,38.865,37.101,35.25,36.445,37.694,36.517,36.509,37.713,37.606,38.064,37.892,36.474,34.264,34.412,33.038,38.309,39.838,38.947,37.919,36.542,37.036,39.429,40.215,37.069,37.769,37.284,37.867,35.944,38.705,38.734,39.947
Korea,Iksan Plant,Total Runoff,mm/day,Runoff (mrro mm/day),0.63,0.502,0.561,0.217,0.613,0.337,0.418,0.679,0.308,0.407,0.765,0.687,0.64,0.529,0.332,0.268,0.216,0.481,0.499,0.714,0.569,0.779,0.982,0.783,0.459,0.233,0.873,0.72,0.788,0.781,0.927,0.919
Korea,Iksan Plant,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),25.834,24.402,25.153,22.611,24.694,23.074,24.181,24.922,24.458,24.812,26.243,25.622,25.19,24.681,23.683,23.299,24.09,26.24,25.777,25.837,25.217,25.11,26.649,25.792,25.045,23.332,24.579,26.129,25.079,25.374,25.574,25.855
Korea,Iksan Plant,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.842,8.197,8.333,8.551,8.498,8.31,8.658,8.561,7.67,8.046,8.375,8.712,8.74,8.901,9.058,8.97,7.744,8.186,8.091,8.519,8.785,9.255,9.713,9.953,7.841,8.011,8.486,8.94,9.218,9.641,10.289,10.857
Korea,Iksan Plant,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),176.433,181.812,184.269,186.247,184.806,186.754,185.469,186.836,176.505,176.035,178.193,181.424,183.692,182.108,187.462,185.613,172.86,171.814,169.645,172.127,175.302,178.006,176.041,178.202,174.795,179.1,180.758,180.208,183.381,184.496,186.419,187.384
Korea,Gwangyang Plant,Daily Max Temperature,degC,Heat Wave (Tmax C),15.77,16.499,16.668,17.003,16.909,16.833,17.273,17.188,15.665,16.092,16.731,17.358,17.414,17.537,18.016,17.795,15.624,16.575,16.343,17.014,17.648,18.402,18.897,19.383,15.75,16.286,17.012,17.793,18.087,18.911,19.803,20.574
Korea,Gwangyang Plant,Daily Min Temperature,degC,Cold Wave (Tmin C),14.064,14.796,14.966,15.384,15.232,15.209,15.621,15.514,13.898,14.416,15.035,15.682,15.77,15.888,16.353,16.157,13.879,14.837,14.621,15.313,15.859,16.727,17.273,17.784,13.985,14.583,15.364,16.09,16.509,17.304,18.235,19.029
Korea,Gwangyang Plant,Near-Surface Air Temperature,degC,Mean Temp (Tas C),14.999,15.725,15.894,16.265,16.15,16.094,16.521,16.421,14.863,15.337,15.956,16.596,16.67,16.787,17.27,17.044,14.836,15.784,15.562,16.247,16.846,17.65,18.16,18.657,14.936,15.527,16.261,17.016,17.37,18.187,19.085,19.871
Korea,Gwangyang Plant,Precipitation,mm/day,Heavy Rain (Pr mm/day),4.806,4.462,4.826,4.376,5.17,4.534,5.069,5.234,4.126,4.417,5.011,4.854,5.362,4.935,4.874,4.498,4.203,4.882,4.554,4.844,4.408,5.202,5.74,5.549,4.355,4.383,4.727,5.055,4.969,5.556,5.021,5.689
Korea,Gwangyang Plant,Evapotranspiration,mm/day,Drought (Evap mm/day),3.57,3.777,3.856,3.827,3.931,3.889,3.857,3.982,3.734,3.696,3.724,3.872,3.832,3.784,3.959,3.955,3.561,3.699,3.722,3.648,3.83,3.852,3.792,4.011,3.61,3.733,3.743,3.952,3.791,4.056,4.087,4.174
Korea,Gwangyang Plant,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.011,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.008,0.005,0.005,0.002,0.005,0.002,0.001,0.002,0.01,0.003,0.008,0.008,0.002,0.001,0.001,0.001,0.013,0.006,0.003,0.002,0.003,0.001,0.0,0.0
Korea,Gwangyang Plant,Near-Surface Wind Speed,m/s,Wind Speed (m/s),5.695,5.74,5.769,5.776,5.79,5.644,5.697,5.79,5.789,5.759,5.655,5.68,5.605,5.612,5.613,5.706,5.661,5.726,5.765,5.615,5.729,5.606,5.53,5.539,5.799,5.742,5.685,5.754,5.635,5.565,5.658,5.618
Korea,Gwangyang Plant,Sea Surface Height Anomaly,cm,Sea Level (cm),20.637,21.889,20.204,18.923,19.045,19.154,18.228,18.102,21.258,20.712,19.974,19.928,19.003,16.718,16.189,15.97,20.893,21.598,20.48,19.775,17.907,18.215,18.607,17.886,20.998,20.618,20.212,19.56,17.882,19.408,18.366,18.568
Korea,Gwangyang Plant,Total Runoff,mm/day,Runoff (mrro mm/day),1.743,1.283,1.558,1.015,1.973,1.213,1.616,1.847,1.088,1.399,1.93,1.683,1.703,1.23,1.48,1.096,0.992,1.708,1.541,1.504,1.67,1.709,2.461,2.176,1.481,1.272,1.666,1.78,1.897,1.806,2.098,2.426
Korea,Gwangyang Plant,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),24.458,23.727,24.025,23.168,23.775,22.704,24.056,23.935,23.796,24.322,24.521,24.18,23.983,23.5,23.684,23.329,23.91,24.844,24.291,24.527,24.38,24.306,25.072,24.553,24.329,22.712,23.468,24.527,24.106,24.246,24.299,24.739
