Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,R&D Seongnam,Evapotranspiration,mm/day,Drought (Evap mm/day),2.415,2.528,2.612,2.628,2.623,2.603,2.619,2.68,2.415,2.416,2.483,2.6,2.603,2.6,2.679,2.694,2.301,2.35,2.388,2.395,2.497,2.533,2.579,2.662,2.434,2.449,2.526,2.644,2.645,2.732,2.797,2.881
Korea,R&D Seongnam,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.038,0.034,0.026,0.029,0.018,0.029,0.018,0.026,0.042,0.027,0.02,0.018,0.022,0.019,0.019,0.017,0.043,0.025,0.032,0.022,0.018,0.016,0.009,0.009,0.039,0.025,0.019,0.02,0.015,0.008,0.007,0.005
Korea,R&D Seongnam,Near-Surface Wind Speed,m/s,Wind Speed (m/s),3.698,3.687,3.763,3.681,3.731,3.7,3.687,3.705,3.742,3.614,3.579,3.608,3.654,3.644,3.65,3.704,3.599,3.606,3.671,3.597,3.68,3.551,3.504,3.544,3.703,3.747,3.614,3.68,3.657,3.621,3.528,3.556
Korea,R&D Seongnam,Sea Surface Height Anomaly,cm,Sea Level (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,R&D Seongnam,Total Runoff,mm/day,Runoff (mrro mm/day),0.454,0.442,0.257,0.347,0.364,0.353,0.555,0.462,0.161,0.312,0.61,0.515,0.569,0.334,0.407,0.425,0.174,0.631,0.638,0.599,0.502,0.512,1.024,0.493,0.676,0.218,0.621,0.799,0.856,0.519,0.904,0.731
Korea,R&D Seongnam,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),23.314,21.712,21.828,21.137,21.631,20.06,21.256,21.678,21.235,21.72,22.919,22.335,21.935,21.578,20.969,20.904,21.126,23.198,23.523,22.57,22.489,22.236,23.713,22.166,23.505,20.692,22.67,22.991,21.86,21.409,22.555,22.994
Korea,R&D Seongnam,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.511,7.841,7.951,8.224,8.134,7.949,8.288,8.174,7.319,7.693,7.988,8.343,8.373,8.499,8.67,8.618,7.403,7.821,7.731,8.151,8.403,8.865,9.301,9.532,7.51,7.652,8.139,8.568,8.82,9.219,9.86,10.433
Korea,R&D Seongnam,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),176.964,183.44,185.376,188.682,185.513,189.261,186.914,188.746,177.267,177.46,179.758,183.358,184.867,183.907,187.388,187.133,173.507,170.86,170.317,172.491,174.915,177.051,176.366,178.794,175.37,179.683,181.328,182.082,184.915,186.74,186.895,187.885
Korea,Pohang Plant,Daily Max Temperature,degC,Heat Wave (Tmax C),14.941,15.654,15.865,16.251,16.104,16.058,16.492,16.338,14.771,15.214,15.889,16.604,16.682,16.838,17.291,17.074,14.815,15.694,15.476,16.279,16.831,17.68,18.243,18.797,14.893,15.529,16.285,17.007,17.504,18.342,19.31,20.14
Korea,Pohang Plant,Daily Min Temperature,degC,Cold Wave (Tmin C),11.266,12.003,12.234,12.624,12.49,12.409,12.856,12.721,11.059,11.661,12.298,12.952,13.047,13.211,13.601,13.409,11.109,12.015,11.83,12.569,13.073,13.979,14.629,15.136,11.242,11.825,12.616,13.331,13.874,14.664,15.636,16.49
Korea,Pohang Plant,Near-Surface Air Temperature,degC,Mean Temp (Tas C),13.193,13.907,14.133,14.507,14.368,14.326,14.752,14.607,13.002,13.506,14.165,14.863,14.945,15.098,15.531,15.32,13.042,13.92,13.73,14.5,15.035,15.899,16.494,17.022,13.142,13.774,14.527,15.241,15.753,16.579,17.524,18.368
