Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Korea,R&D Seongnam,SSP2-4.5,2070s,30.3,5.3,7.8,367.87,34.68,56.71,12.32,4.1,7.73,51.1,18.43,13.27,53.7
Korea,R&D Seongnam,SSP2-4.5,2080s,34.1,4.8,6.5,396.13,38.69,59.57,13.19,7.6,8.09,58.7,18.99,13.65,66.0
Korea,R&D Seongnam,SSP2-4.5,2090s,30.2,4.3,7.6,425.65,41.94,60.83,13.84,7.8,8.4,61.6,18.79,13.52,68.2
Korea,R&D Seongnam,SSP5-8.5,2020s,28.9,6.1,24.1,368.88,37.84,57.53,12.85,0.0,5.7,8.2,16.41,11.38,10.9
Korea,R&D Seongnam,SSP5-8.5,2030s,31.3,5.8,17.8,201.67,30.85,48.26,11.48,0.4,6.38,13.0,17.04,11.81,20.5
Korea,R&D Seongnam,SSP5-8.5,2040s,29.8,6.2,10.6,401.27,40.48,63.88,13.7,1.0,7.43,26.7,17.82,12.72,40.4
Korea,R&D Seongnam,SSP5-8.5,2050s,33.4,5.1,10.9,428.74,42.01,68.35,14.6,4.6,7.97,49.3,18.52,13.39,58.3
Korea,R&D Seongnam,SSP5-8.5,2060s,37.0,6.0,6.9,563.55,41.28,67.51,16.02,16.3,8.54,65.1,19.03,13.81,66.8
Korea,R&D Seongnam,SSP5-8.5,2070s,29.5,5.7,1.8,402.0,39.45,60.16,13.69,36.4,9.38,86.7,19.89,14.59,86.1
Korea,R&D Seongnam,SSP5-8.5,2080s,34.9,5.3,1.1,567.03,44.51,70.99,15.81,57.4,10.48,107.0,20.85,15.52,104.0
Korea,R&D Seongnam,SSP5-8.5,2090s,37.5,5.2,0.4,466.63,44.58,70.12,15.24,79.1,11.23,121.6,21.47,16.32,118.8
Korea,Saehan Jeongeup,SSP2-4.5,2020s,33.3,5.0,7.7,240.48,34.06,50.76,12.31,0.0,6.82,8.5,17.1,11.96,8.0
Korea,Saehan Jeongeup,SSP2-4.5,2030s,30.8,5.4,4.2,320.72,35.77,59.7,12.14,0.2,7.6,14.9,17.77,12.6,16.4
Korea,Saehan Jeongeup,SSP2-4.5,2040s,29.0,5.4,2.4,488.79,42.03,72.1,14.23,0.4,8.29,28.6,18.27,13.16,32.6
Korea,Saehan Jeongeup,SSP2-4.5,2050s,27.7,5.2,1.3,457.18,43.37,65.77,14.26,5.2,8.96,49.0,18.94,13.84,54.3
Korea,Saehan Jeongeup,SSP2-4.5,2060s,31.9,5.4,2.3,409.33,38.73,58.85,13.24,4.2,9.02,52.4,19.01,13.85,56.8
Korea,Saehan Jeongeup,SSP2-4.5,2070s,33.4,5.3,0.3,399.49,38.14,63.97,13.3,7.7,9.06,59.6,19.24,14.12,57.9
Korea,Saehan Jeongeup,SSP2-4.5,2080s,35.6,5.2,0.7,249.43,33.55,54.8,12.72,12.8,9.42,69.7,19.81,14.49,70.0
Korea,Saehan Jeongeup,SSP2-4.5,2090s,27.4,5.1,2.0,347.9,36.72,55.53,12.46,11.6,9.66,72.3,19.64,14.33,70.5
Korea,Saehan Jeongeup,SSP5-8.5,2020s,29.4,5.7,9.1,279.49,32.29,52.35,11.72,0.1,7.05,13.5,17.35,12.22,10.3
Korea,Saehan Jeongeup,SSP5-8.5,2030s,36.0,5.7,5.3,190.65,30.78,47.9,11.47,1.0,7.63,21.2,17.89,12.64,18.2
Korea,Saehan Jeongeup,SSP5-8.5,2040s,28.5,5.4,2.0,524.9,41.16,65.42,14.42,1.5,8.68,37.8,18.7,13.53,39.9
Korea,Saehan Jeongeup,SSP5-8.5,2050s,31.4,5.7,1.0,460.28,43.25,69.35,13.95,6.2,9.27,59.9,19.43,14.21,57.5
Korea,Saehan Jeongeup,SSP5-8.5,2060s,34.9,6.9,0.9,501.38,39.78,65.6,14.53,21.0,9.8,72.8,19.81,14.63,66.4
Korea,Saehan Jeongeup,SSP5-8.5,2070s,30.8,5.5,0.0,537.01,44.33,68.88,15.2,42.9,10.61,94.4,20.59,15.4,85.6
Korea,Saehan Jeongeup,SSP5-8.5,2080s,34.4,6.0,0.0,578.2,47.91,72.73,15.26,66.9,11.76,115.0,21.67,16.34,105.2
Korea,Saehan Jeongeup,SSP5-8.5,2090s,32.1,6.0,0.0,572.34,48.82,76.62,16.04,86.0,12.46,129.7,22.33,17.12,119.1
Philippines,Philko Makati,SSP2-4.5,2020s,31.4,78.1,0.0,524.27,31.17,82.18,12.48,364.7,25.1,365.3,32.01,27.35,11.0
Philippines,Philko Makati,SSP2-4.5,2030s,28.6,64.1,0.0,573.4,39.01,93.11,13.07,365.2,25.32,365.2,32.19,27.53,9.0
Philippines,Philko Makati,SSP2-4.5,2040s,30.4,67.9,0.0,686.19,38.64,92.01,13.26,365.0,25.84,365.3,32.72,27.97,24.8
Philippines,Philko Makati,SSP2-4.5,2050s,36.2,72.9,0.0,673.83,31.98,83.92,13.66,365.2,26.06,365.2,33.09,28.24,39.7
Philippines,Philko Makati,SSP2-4.5,2060s,31.2,61.5,0.0,775.9,39.29,94.93,13.87,365.2,26.29,365.3,33.25,28.4,33.3
Philippines,Philko Makati,SSP2-4.5,2070s,40.7,72.1,0.0,692.99,34.26,87.46,14.3,364.8,26.4,365.2,33.5,28.57,44.0
Philippines,Philko Makati,SSP2-4.5,2080s,42.9,69.4,0.0,805.58,36.94,92.47,14.36,365.3,26.68,365.3,33.75,28.78,58.4
Philippines,Philko Makati,SSP2-4.5,2090s,39.2,83.1,0.0,815.8,38.74,93.87,14.48,365.2,26.76,365.2,33.78,28.92,60.3
Philippines,Philko Makati,SSP5-8.5,2020s,36.9,88.9,0.0,609.87,32.76,79.22,13.0,361.8,25.06,364.8,32.05,27.33,9.6
Philippines,Philko Makati,SSP5-8.5,2030s,32.1,79.0,0.0,469.84,30.31,82.02,12.18,365.1,25.63,365.2,32.41,27.74,12.1
Philippines,Philko Makati,SSP5-8.5,2040s,27.4,65.3,0.0,625.53,32.67,86.83,13.51,365.2,25.95,365.3,32.86,28.09,27.9
Philippines,Philko Makati,SSP5-8.5,2050s,27.4,62.7,0.0,1067.41,46.67,110.62,15.75,365.0,26.21,365.2,33.27,28.43,43.5
Philippines,Philko Makati,SSP5-8.5,2060s,45.6,48.5,0.0,949.15,40.86,106.96,15.15,365.3,26.92,365.3,34.03,29.02,63.4
Philippines,Philko Makati,SSP5-8.5,2070s,41.1,63.9,0.0,1334.24,50.5,123.4,17.2,365.2,27.39,365.2,34.66,29.53,91.1
Philippines,Philko Makati,SSP5-8.5,2080s,44.8,60.4,0.0,1176.59,44.01,108.89,16.89,365.3,28.06,365.3,35.36,30.09,152.3
Philippines,Philko Makati,SSP5-8.5,2090s,49.6,42.5,0.0,1136.6,40.51,98.27,17.01,365.2,28.75,365.2,36.28,30.68,228.1
