Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
China,OCI Shanghai,SSP2-4.5,2030s,24.3,11.0,0.0,415.67,40.54,77.7,12.83,71.8,10.63,89.9,24.41,16.8,8.4
China,OCI Shanghai,SSP2-4.5,2040s,27.8,13.8,0.5,465.84,39.96,78.26,13.19,90.5,11.11,101.8,25.33,17.39,19.2
China,OCI Shanghai,SSP2-4.5,2050s,23.7,11.8,0.0,594.23,49.69,91.64,14.32,103.5,11.85,113.6,25.68,17.95,25.9
China,OCI Shanghai,SSP2-4.5,2060s,32.6,10.0,0.2,532.58,43.46,78.7,13.37,106.0,11.74,117.6,25.78,17.89,26.2
China,OCI Shanghai,SSP2-4.5,2070s,25.6,10.6,0.0,460.18,40.27,77.2,12.67,112.1,11.93,129.1,26.13,18.29,33.3
China,OCI Shanghai,SSP2-4.5,2080s,25.4,10.5,0.0,574.72,45.57,82.77,14.38,121.1,12.39,131.7,26.51,18.73,37.8
China,OCI Shanghai,SSP2-4.5,2090s,27.0,12.2,0.0,780.21,51.47,100.02,15.36,120.4,12.35,129.8,26.16,18.41,27.8
China,OCI Shanghai,SSP5-8.5,2020s,24.3,12.0,1.3,462.53,39.84,75.95,13.15,69.2,10.17,85.3,24.16,16.51,7.3
China,OCI Shanghai,SSP5-8.5,2030s,28.8,11.7,0.0,358.87,37.79,73.32,12.58,81.5,10.65,95.3,24.52,16.88,12.2
China,OCI Shanghai,SSP5-8.5,2040s,28.1,11.2,0.0,464.67,39.31,78.31,13.33,99.6,11.49,109.6,25.23,17.65,17.3
China,OCI Shanghai,SSP5-8.5,2050s,36.7,11.3,0.0,566.94,41.99,82.94,14.2,115.6,12.21,125.5,26.33,18.3,24.0
China,OCI Shanghai,SSP5-8.5,2060s,29.8,11.4,0.0,568.64,45.45,83.6,13.77,123.2,12.29,133.2,26.27,18.74,38.1
China,OCI Shanghai,SSP5-8.5,2070s,24.1,10.4,0.0,657.06,50.44,97.52,15.11,139.8,13.45,147.2,27.49,19.62,59.4
